[ ID] Interval       Transfer     Bandwidth
[  1] 130.0000-131.0000 sec  1.11 GBytes  9.58 Gbits/sec
[  1] 131.0000-132.0000 sec  1.08 GBytes  9.29 Gbits/sec
[  1] 132.0000-133.0000 sec  1.12 GBytes  9.60 Gbits/sec
[  1] 133.0000-134.0000 sec  1.14 GBytes  9.77 Gbits/sec
[  1] 134.0000-135.0000 sec  1.10 GBytes  9.49 Gbits/sec
[  1] 135.0000-136.0000 sec  1.05 GBytes  9.03 Gbits/sec
[  1] 136.0000-137.0000 sec  1009 MBytes  8.46 Gbits/sec
[  1] 137.0000-138.0000 sec  1.11 GBytes  9.56 Gbits/sec
[  1] 138.0000-139.0000 sec   539 MBytes  4.52 Gbits/sec
[  1] 139.0000-140.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 140.0000-141.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 141.0000-142.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 142.0000-143.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 143.0000-144.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 144.0000-145.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 145.0000-146.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 146.0000-147.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 147.0000-148.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 148.0000-149.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 149.0000-150.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 150.0000-151.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 151.0000-152.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 152.0000-153.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 153.0000-154.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 154.0000-155.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 155.0000-156.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 156.0000-157.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 157.0000-158.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 158.0000-159.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 159.0000-160.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 160.0000-161.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 161.0000-162.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 162.0000-163.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 163.0000-164.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 164.0000-165.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 165.0000-166.0000 sec   867 MBytes  7.27 Gbits/sec
[  1] 166.0000-167.0000 sec  1020 MBytes  8.55 Gbits/sec
[  1] 167.0000-168.0000 sec  1.04 GBytes  8.93 Gbits/sec
[  1] 168.0000-169.0000 sec  1.03 GBytes  8.87 Gbits/sec
[  1] 169.0000-170.0000 sec  1.03 GBytes  8.87 Gbits/sec
[  1] 170.0000-171.0000 sec   982 MBytes  8.23 Gbits/sec
[  1] 171.0000-172.0000 sec   945 MBytes  7.93 Gbits/sec
[  1] 172.0000-173.0000 sec  1.00 GBytes  8.60 Gbits/sec
[  1] 173.0000-174.0000 sec  1.02 GBytes  8.74 Gbits/sec
[  1] 174.0000-175.0000 sec  1.08 GBytes  9.31 Gbits/sec
[  1] 175.0000-176.0000 sec  1.01 GBytes  8.64 Gbits/sec
[  1] 176.0000-177.0000 sec  1012 MBytes  8.49 Gbits/sec
[  1] 177.0000-178.0000 sec   976 MBytes  8.19 Gbits/sec
[  1] 178.0000-179.0000 sec  1.03 GBytes  8.84 Gbits/sec
[  1] 179.0000-180.0000 sec  1.03 GBytes  8.84 Gbits/sec
[  1] 180.0000-181.0000 sec  1.06 GBytes  9.06 Gbits/sec
[  1] 181.0000-182.0000 sec  1.09 GBytes  9.35 Gbits/sec
[  1] 182.0000-183.0000 sec  1.05 GBytes  8.99 Gbits/sec
[  1] 183.0000-184.0000 sec  1.06 GBytes  9.11 Gbits/sec
[  1] 184.0000-185.0000 sec  1.06 GBytes  9.10 Gbits/sec
[  1] 185.0000-186.0000 sec  1.06 GBytes  9.10 Gbits/sec
[  1] 186.0000-187.0000 sec  1.01 GBytes  8.71 Gbits/sec
[  1] 187.0000-188.0000 sec  1.02 GBytes  8.74 Gbits/sec
[  1] 188.0000-189.0000 sec  1.05 GBytes  9.03 Gbits/sec
[  1] 189.0000-190.0000 sec  1.10 GBytes  9.49 Gbits/sec
[  1] 190.0000-191.0000 sec  1.04 GBytes  8.90 Gbits/sec
[  1] 191.0000-192.0000 sec  1.07 GBytes  9.16 Gbits/sec
[  1] 192.0000-193.0000 sec  1022 MBytes  8.57 Gbits/sec
[  1] 193.0000-194.0000 sec  1000 MBytes  8.39 Gbits/sec
[  1] 194.0000-195.0000 sec  1.06 GBytes  9.14 Gbits/sec
[  1] 195.0000-196.0000 sec  1.04 GBytes  8.92 Gbits/sec
[  1] 196.0000-197.0000 sec  1.00 GBytes  8.59 Gbits/sec
[  1] 197.0000-198.0000 sec  1.05 GBytes  9.03 Gbits/sec
[  1] 198.0000-199.0000 sec  1.02 GBytes  8.75 Gbits/sec
[  1] 199.0000-200.0000 sec  1.07 GBytes  9.18 Gbits/sec
[  1] 200.0000-201.0000 sec  1.03 GBytes  8.87 Gbits/sec
[  1] 201.0000-202.0000 sec  1.05 GBytes  8.99 Gbits/sec
